Head	Relation	Tail	Head_des	Tail_des	Relation_des	Head_viz	Tail_viz
ha_noi	co_dac_san	com	"Hà N?i (ch? Hán: ??) là th? ?ô c?a n??c C?ng hòa Xã h?i ch? ngh?a Vi?t Nam, c?ng là kinh ?ô c?a h?u h?t các v??ng tri?u phong ki?n t?i Vi?t Nam tr??c ?ây. Hà N?i là thành ph? tr?c thu?c trung ??ng và là thành ph? có di?n tích l?n nh?t c? n??c t? khi t?nh Hà Tây sáp nh?p vào. Hà N?i n?m gi?a ??ng b?ng sông H?ng trù phú, n?i ?ây ?ã s?m tr? thành m?t trung tâm chính tr?, kinh t? và v?n hóa ngay t? nh?ng bu?i ??u c?a l?ch s? Vi?t Nam."	"Khi t?i Hà N?i thì b?n không th? không nh?c t?i món c?m làng Vòng. Th? d?ng chân ? làng Vòng trong ti?t tr?i thu mát m?, du khách s? c?m nh?n ???c trong không gian d?u ng?t, thoang tho?ng h??ng c?m kh?p ph? ph??ng. C?m th??ng ???c b?c trong nh?ng chi?c lá sen và ?n kèm v?i chu?i chín. Th??ng th?c m?t chút, hay mang c?m t??i v? làm quà, c?m xúc không th? nào di?n t? ???c ngoài 2 t? “h?nh phúc”."	có ??c s?n	Hà N?i	C?m
ha_noi	co_dac_san	sau	"Hà N?i (ch? Hán: ??) là th? ?ô c?a n??c C?ng hòa Xã h?i ch? ngh?a Vi?t Nam, c?ng là kinh ?ô c?a h?u h?t các v??ng tri?u phong ki?n t?i Vi?t Nam tr??c ?ây. Hà N?i là thành ph? tr?c thu?c trung ??ng và là thành ph? có di?n tích l?n nh?t c? n??c t? khi t?nh Hà Tây sáp nh?p vào. Hà N?i n?m gi?a ??ng b?ng sông H?ng trù phú, n?i ?ây ?ã s?m tr? thành m?t trung tâm chính tr?, kinh t? và v?n hóa ngay t? nh?ng bu?i ??u c?a l?ch s? Vi?t Nam."	"S?u là món ?n khá thân thu?c v?i ng??i dân th? ?ô, t? s?u ta có th? ch? bi?n ???c nhi?u món ?n hay n??c gi?i khát ngon tuy?t. V?i m?i du khách ??n v?i Hà N?i, ??c bi?t là du khách mi?n Nam, ai c?ng ph?i mua cho mình m?t túi s?u ?? v? làm quà. N?u du khách ??n vào chính v? mùa s?u, khi ?i kh?p n?o ???ng c?a th? ?ô b?n s? b?t g?p r?t nhi?u s?p hàng bán s?u t??i."	có ??c s?n	Hà N?i	S?u
ha_noi	co_le_hoi	le_hoi_chua_huong	"Hà N?i (ch? Hán: ??) là th? ?ô c?a n??c C?ng hòa Xã h?i ch? ngh?a Vi?t Nam, c?ng là kinh ?ô c?a h?u h?t các v??ng tri?u phong ki?n t?i Vi?t Nam tr??c ?ây. Hà N?i là thành ph? tr?c thu?c trung ??ng và là thành ph? có di?n tích l?n nh?t c? n??c t? khi t?nh Hà Tây sáp nh?p vào. Hà N?i n?m gi?a ??ng b?ng sông H?ng trù phú, n?i ?ây ?ã s?m tr? thành m?t trung tâm chính tr?, kinh t? và v?n hóa ngay t? nh?ng bu?i ??u c?a l?ch s? Vi?t Nam."	"L? h?i chùa H??ng là n?i h?i t? các sinh ho?t v?n hóa dân t?c ??c ?áo nh? b?i thuy?n, leo núi và các chi?u hát chèo, hát v?n… Nét ??c ?áo c?a h?i chùa H??ng là thú vui ng?i thuy?n thong dong vãng c?nh trên su?i Y?n, vãn c?nh chùa chi?n, leo núi th?m ??ng, th??ng th?c các ti?t m?c v?n ngh? hát trèo ?ò. ?ây là m?t l? h?i l?n Hà N?i và có nhi?u s?c h?p d?n v?i du khách."	có l? h?i	Hà N?i	L? h?i chùa H??ng
kien_giang	toa_lac_tai	dong_bang_song_cuu_long	"Kiên Giang là m?t t?nh ven bi?n thu?c vùng ??ng b?ng sông C?u Long ? mi?n Nam, Vi?t Nam. Ph?n l?n di?n tích Kiên Giang ngày nay bao g?m t?nh R?ch Giá và toàn b? t?nh Hà Tiên c?. ?ây là t?nh có di?n tích l?n nh?t vùng Tây Nam B? và l?n th? hai ? Nam B? (sau t?nh Bình Ph??c). Tuy nhiên, vào th?i nhà Nguy?n toàn b? di?n tích t?nh Kiên Giang ngày nay ??u thu?c t?nh Hà Tiên. T?nh l? c?a t?nh hi?n nay là thành ph? R?ch Giá cách TP C?n Th? 120km và TP. HCM 250km qua qu?c l? 1A. Là t?nh n?m trong vùng kinh t? tr?ng ?i?m vùng ??ng b?ng sông C?u Long. Khu d? tr? sinh quy?n ven bi?n và bi?n ??o Kiên Giang ?ã ???c UNESCO công nh?n là khu d? tr? sinh quy?n th? gi?i. Khu DTSQ Kiên Giang ch?a ??ng s? phong phú, ?a d?ng và ??c s?c v? c?nh quan và h? sinh thái nh? r?ng tràm trên ??t ng?p n??c, r?ng trên núi ?á, h? sinh thái bi?n mà trong ?ó tiêu bi?u là th?m c? bi?n g?n li?n v?i loài ??ng v?t quý hi?m là bò bi?n. Khu DTSQ Kiên Giang trùm lên ??a ph?n các huy?n Phú Qu?c, An Minh, V?nh Thu?n, Kiên L??ng và Kiên H?i, có ba vùng lõi thu?c các V??n qu?c gia U Minh Th??ng, VQG Phú Qu?c, và R?ng phòng h? ven bi?n Kiên L??ng - Kiên H?i. Th?ng c?nh chùa Hang (Kiên L??ng) v?i hòn Ph? T? n?i ti?ng. Tháng 8 n?m 2006, m?t bên c?a hòn Ph? T? (hòn Ph?) ?ã b? ?? xu?ng bi?n. Nguyên nhân ban ??u ???c xác ??nh là do nh?ng tác ??ng t? nhiên c?a gió, sóng và n??c bi?n. Hi?n nay các ngành ch?c n?ng ? ??a ph??ng ?ang h?p bàn v? cách ph?c d?ng. Th?ch ??ng: Cách biên gi?i Campuchia ch?a ???c 3 km ???ng chim bay, t? xa hình gi?ng nh? nón c?a ng??i lính k? binh Anh th?i x?a. ???c hình thành t? ?á vôi b? xâm th?c, bên trong Th?ch ??ng ?? r?ng ?? du khách có th? vi?ng chùa, ng?m nhìn biên gi?i bên tay gió bi?n th?i l?ng vào (xem thêm Hà Tiên th?p v?nh). ??o Phú Qu?c, hòn ??o l?n nh?t Vi?t Nam, là hòn ??o ng?c hi?n ?ang ???c chú ý b?i nh?ng ai thích v? hoang s? c?a nó. Hi?n nay t?c ?? t?ng tr??ng du l?ch c?a Phú Qu?c ???c coi nh? là cao nh?t v?i m?c t?ng luôn t? 100% tr? lên so v?i n?m tr??c ?ó."	"Vùng ??ng b?ng sông C?u Long là vùng c?c nam c?a Vi?t Nam, m?t trong hai ph?n c?a Nam B?, còn ???c g?i là Vùng ??ng b?ng sông Mê Kông, Vùng ??ng b?ng Nam B?, Vùng Tây Nam B?, C?u Long ho?c theo cách g?i c?a ng??i dân Vi?t Nam ng?n g?n là Mi?n Tây, có 1 thành ph? tr?c thu?c trung ??ng là thành ph? C?n Th? và 12 t?nh: Long An, Ti?n Giang, B?n Tre, V?nh Long, Trà Vinh, H?u Giang, Sóc Tr?ng, ??ng Tháp, An Giang, Kiên Giang, B?c Liêu và Cà Mau."	t?a l?c t?i	Kiên Giang	??ng b?ng sông C?u Long
tien_giang	toa_lac_tai	dong_bang_song_cuu_long	"Ti?n Giang là m?t t?nh ven bi?n thu?c ??ng b?ng sông C?u Long, Vi?t Nam. Ph?n l?n di?n tích c?a t?nh thu?c ??a bàn t?nh M? Tho c?. Tuy nhiên, c?ng có th?i k? toàn b? di?n tích t?nh Ti?n Giang ngày nay ??u thu?c t?nh M? Tho, bao g?m c? vùng Gò Công. Ti?n Giang là t?nh v?a thu?c Vùng ??ng b?ng sông C?u Long, v?a n?m trong Vùng kinh t? tr?ng ?i?m phía Nam."	"Vùng ??ng b?ng sông C?u Long là vùng c?c nam c?a Vi?t Nam, m?t trong hai ph?n c?a Nam B?, còn ???c g?i là Vùng ??ng b?ng sông Mê Kông, Vùng ??ng b?ng Nam B?, Vùng Tây Nam B?, C?u Long ho?c theo cách g?i c?a ng??i dân Vi?t Nam ng?n g?n là Mi?n Tây, có 1 thành ph? tr?c thu?c trung ??ng là thành ph? C?n Th? và 12 t?nh: Long An, Ti?n Giang, B?n Tre, V?nh Long, Trà Vinh, H?u Giang, Sóc Tr?ng, ??ng Tháp, An Giang, Kiên Giang, B?c Liêu và Cà Mau."	t?a l?c t?i	Ti?n Giang	??ng b?ng sông C?u Long
tien_giang	truc_thuoc_trung_uong	sai	"Ti?n Giang là m?t t?nh ven bi?n thu?c ??ng b?ng sông C?u Long, Vi?t Nam. Ph?n l?n di?n tích c?a t?nh thu?c ??a bàn t?nh M? Tho c?. Tuy nhiên, c?ng có th?i k? toàn b? di?n tích t?nh Ti?n Giang ngày nay ??u thu?c t?nh M? Tho, bao g?m c? vùng Gò Công. Ti?n Giang là t?nh v?a thu?c Vùng ??ng b?ng sông C?u Long, v?a n?m trong Vùng kinh t? tr?ng ?i?m phía Nam."	"Sai là không gi?ng, không ?úng, không phù h?p v?i cái ho?c ?i?u có th?t."	tr?c thu?c trung ??ng	Ti?n Giang	Sai
tien_giang	co_dac_san	hu_tieu_my_tho	"Ti?n Giang là m?t t?nh ven bi?n thu?c ??ng b?ng sông C?u Long, Vi?t Nam. Ph?n l?n di?n tích c?a t?nh thu?c ??a bàn t?nh M? Tho c?. Tuy nhiên, c?ng có th?i k? toàn b? di?n tích t?nh Ti?n Giang ngày nay ??u thu?c t?nh M? Tho, bao g?m c? vùng Gò Công. Ti?n Giang là t?nh v?a thu?c Vùng ??ng b?ng sông C?u Long, v?a n?m trong Vùng kinh t? tr?ng ?i?m phía Nam."	"Nh?c t?i h? ti?u ??m nét Nam B?, bên c?nh h? ti?u Sa ?éc và h? ti?u Nam Vang thì ??c s?n Ti?n Giang khó lòng mà b? qua ???c là h? ti?u M? Tho. S?i h? ti?u có c?ng nh? màu tr?ng, khô, dai dai, có h??ng v? h?i chua, nét r?t riêng mà nh?ng n?i khác không có ???c."	có ??c s?n	Ti?n Giang	H? ti?u M? Tho
vinh_phuc	toa_lac_tai	dong_bang_song_hong	"V?nh Phúc là m?t t?nh vùng ??ng b?ng sông H?ng, Vi?t Nam, n?m ? chính gi?a trung tâm hình h?c trên b?n ?? mi?n B?c. ?ây là t?nh n?m trong quy ho?ch vùng th? ?ô Hà N?i, vùng kinh t? tr?ng ?i?m B?c B?. V?nh Phúc có nhi?u c?nh quan và danh th?ng k? thú nh? khu danh th?ng Tây Thiên v?i Thi?n Vi?n Trúc Lâm Tây Thiên (là m?t trong 3 thi?n vi?n l?n nh?t Vi?t Nam cùng v?i Yên T? và ?à L?t), khu ngh? mát Tam ??o, tháp Bình S?n, ??n Gia Loan - chùa Bi?n S?n,… là n?i ?? phát tri?n các lo?i hình du l?ch nh? tham quan, ngh? mát,… Ngoài ra còn có trên 500 di tích l?ch s?, v?n hoá v?i 170 di tích ???c x?p h?ng, trong ?ó 67 di tích ???c x?p h?ng c?p qu?c gia. V?nh Phúc còn có nhi?u ??m h? ? nh?ng ??a th? ??p có th? phát tri?n thành ?i?m du l?ch ngh? d??ng h?p d?n."	"??ng b?ng sông H?ng (hay Châu th? B?c B?) là khu v?c h? l?u sông H?ng và sông Thái Bình thu?c B?c B? Vi?t Nam, vùng ??t bao g?m 10 t?nh thành, trong ?ó có 2 thành ph? tr?c thu?c trung ??ng và 8 t?nh, 11 thành ph? (ngang c?p huy?n) tr?c thu?c t?nh."	t?a l?c t?i	V?nh Phúc	??ng b?ng sông H?ng
vung_tau	truc_thuoc_trung_uong	sai	"V?ng Tàu là m?t thành ph? thu?c t?nh Bà R?a - V?ng Tàu, ? vùng ?ông Nam B?, Vi?t Nam. ?ây là trung tâm kinh t?, tài chính, v?n hóa, du l?ch, giao thông - v?n t?i và giáo d?c và là m?t trong nh?ng trung tâm kinh t? c?a vùng ?ông Nam B?. S? h?u nhi?u bãi bi?n ??p và c? s? h? t?ng ???c ??u t? hoàn ch?nh, V?ng Tàu là m?t ??a ?i?m du l?ch n?i ti?ng t?i mi?n Nam. Ngoài ra, thành ph? còn là khu v?c h?u c?n c?a ngành công nghi?p d?u khí Vi?t Nam. T? ngày 2 tháng 5 n?m 2012, t?nh l? c?a t?nh Bà R?a - V?ng Tàu ???c chuy?n ??n thành ph? Bà R?a. Thành ph? V?ng Tàu ???c công nh?n là ?ô th? lo?i I tr?c thu?c t?nh ??u tiên c?a c? Nam B?."	"Sai là không gi?ng, không ?úng, không phù h?p v?i cái ho?c ?i?u có th?t."	tr?c thu?c trung ??ng	V?ng Tàu	Sai
vung_tau	toa_lac_tai	ba_ria_vung_tau	"V?ng Tàu là m?t thành ph? thu?c t?nh Bà R?a - V?ng Tàu, ? vùng ?ông Nam B?, Vi?t Nam. ?ây là trung tâm kinh t?, tài chính, v?n hóa, du l?ch, giao thông - v?n t?i và giáo d?c và là m?t trong nh?ng trung tâm kinh t? c?a vùng ?ông Nam B?. S? h?u nhi?u bãi bi?n ??p và c? s? h? t?ng ???c ??u t? hoàn ch?nh, V?ng Tàu là m?t ??a ?i?m du l?ch n?i ti?ng t?i mi?n Nam. Ngoài ra, thành ph? còn là khu v?c h?u c?n c?a ngành công nghi?p d?u khí Vi?t Nam. T? ngày 2 tháng 5 n?m 2012, t?nh l? c?a t?nh Bà R?a - V?ng Tàu ???c chuy?n ??n thành ph? Bà R?a. Thành ph? V?ng Tàu ???c công nh?n là ?ô th? lo?i I tr?c thu?c t?nh ??u tiên c?a c? Nam B?."	"Bà R?a – V?ng Tàu là m?t t?nh ven bi?n thu?c vùng ?ông Nam B?, Vi?t Nam. N?m trong Vùng kinh t? tr?ng ?i?m phía Nam, ? v? trí c?a ngõ ra Bi?n ?ông c?a các t?nh trong khu v?c mi?n ?ông Nam B?, Bà R?a – V?ng Tàu k?t n?i v?i Thành ph? H? Chí Minh và các ??a ph??ng khác b?ng ???ng b?, ???ng không và ???ng th?y. V?ng Tàu, thành ph? du l?ch bi?n và là trung tâm c?a ho?t ??ng khai thác d?u m? phía Nam, ?ã t?ng là trung tâm hành chính c?a t?nh. T? ngày 2 tháng 5 n?m 2012, t?nh l? chuy?n ??n thành ph? Bà R?a. ?ây c?ng là t?nh ??u tiên c?a ?ông Nam B? có 2 thành ph? tr?c thu?c t?nh."	t?a l?c t?i	V?ng Tàu	Bà R?a - V?ng Tàu
vung_tau	co_dac_san	banh_bong_lan_trung_muoi	"V?ng Tàu là m?t thành ph? thu?c t?nh Bà R?a - V?ng Tàu, ? vùng ?ông Nam B?, Vi?t Nam. ?ây là trung tâm kinh t?, tài chính, v?n hóa, du l?ch, giao thông - v?n t?i và giáo d?c và là m?t trong nh?ng trung tâm kinh t? c?a vùng ?ông Nam B?. S? h?u nhi?u bãi bi?n ??p và c? s? h? t?ng ???c ??u t? hoàn ch?nh, V?ng Tàu là m?t ??a ?i?m du l?ch n?i ti?ng t?i mi?n Nam. Ngoài ra, thành ph? còn là khu v?c h?u c?n c?a ngành công nghi?p d?u khí Vi?t Nam. T? ngày 2 tháng 5 n?m 2012, t?nh l? c?a t?nh Bà R?a - V?ng Tàu ???c chuy?n ??n thành ph? Bà R?a. Thành ph? V?ng Tàu ???c công nh?n là ?ô th? lo?i I tr?c thu?c t?nh ??u tiên c?a c? Nam B?."	"V?i nh?ng ng??i yêu thích ?m th?c V?ng Tàu thì có l? s? không b? qua món bánh bông lan tr?ng mu?i. Không ch? ???c th??ng th?c ??c s?n này ngay t?i ch? mà b?n mua v? làm quà cho b?n bè và ng??i thân ? nhà n?a ??y. Nh?ng chi?c bánh màu vàng nh? nh?n nh?ng l?i có m?t h??ng v? n?ng nàn, khi?n b?t k? ai th? qua ??u v?n l?n nh?."	có ??c s?n	V?ng Tàu	Bánh bông lan tr?ng mu?i 
vung_tau	co_dac_san	banh_khot	"V?ng Tàu là m?t thành ph? thu?c t?nh Bà R?a - V?ng Tàu, ? vùng ?ông Nam B?, Vi?t Nam. ?ây là trung tâm kinh t?, tài chính, v?n hóa, du l?ch, giao thông - v?n t?i và giáo d?c và là m?t trong nh?ng trung tâm kinh t? c?a vùng ?ông Nam B?. S? h?u nhi?u bãi bi?n ??p và c? s? h? t?ng ???c ??u t? hoàn ch?nh, V?ng Tàu là m?t ??a ?i?m du l?ch n?i ti?ng t?i mi?n Nam. Ngoài ra, thành ph? còn là khu v?c h?u c?n c?a ngành công nghi?p d?u khí Vi?t Nam. T? ngày 2 tháng 5 n?m 2012, t?nh l? c?a t?nh Bà R?a - V?ng Tàu ???c chuy?n ??n thành ph? Bà R?a. Thành ph? V?ng Tàu ???c công nh?n là ?ô th? lo?i I tr?c thu?c t?nh ??u tiên c?a c? Nam B?."	"Có th? b?n ch?a bi?t, bánh kh?t không ch? là ??c s?n V?ng Tàu mà còn là m?t trong 12 món ?n Vi?t Nam ???c xác l?p k? l?c châu Á. Không quá c?u k? nh? nh?ng món ??c s?n khác, bánh kh?t khá là dân dã, mang h??ng v? r?t riêng c?a mi?n bi?n V?ng Tàu ???c nhi?u ndu khách ?a thích."	có ??c s?n	V?ng Tàu	Bánh kh?t
